experiment,time_s,follower,cell,artifact_id,q_seg_max,qdot_seg_max,u_dot_bound,amplitude_guard_pass,slew_guard_pass,domain_pass,artifact_valid,lmi_margin_pass,effective_delay_mode_pass,authority
migration,0.38,3,C1,C1_SHARED_CERT_001,0.246948530137,0.644251633266,20530.1668384,1,1,1,1,1,1,N
migration,0.38,4,C1,C1_SHARED_CERT_001,0.24459543025,0.637510302743,15962.0781369,1,1,1,1,1,1,N
migration,0.40,1,C1,C1_SHARED_CERT_001,0.263656177698,0.671818817765,15292.442052,1,1,1,1,1,1,N
migration,0.40,2,C1,C1_SHARED_CERT_001,0.258372655702,0.632747466812,17284.7750544,1,1,1,1,1,1,N
migration,0.40,3,C1,C1_SHARED_CERT_001,0.259663150815,0.635732786212,20260.7216439,1,1,1,1,1,1,N
migration,0.40,4,C1,C1_SHARED_CERT_001,0.25717568678,0.629014671948,15750.9382448,1,1,1,1,1,1,N
migration,0.42,1,C1,C1_SHARED_CERT_001,0.276876010521,0.660993492833,15047.6069145,1,1,1,1,1,1,N
migration,0.42,2,C1,C1_SHARED_CERT_001,0.2707552804,0.61913251157,16914.8012499,1,1,1,1,1,1,N
migration,0.42,3,C1,C1_SHARED_CERT_001,0.272103625907,0.622025031126,19826.1401373,1,1,1,1,1,1,N
migration,0.42,4,C1,C1_SHARED_CERT_001,0.269483234933,0.615378782171,15411.2647623,1,1,1,1,1,1,N
migration,0.44,1,C1,C1_SHARED_CERT_001,0.289782184665,0.645311077262,14692.3550009,1,1,1,1,1,1,N
migration,0.44,2,C1,C1_SHARED_CERT_001,0.2827707679,0.600775226147,16415.4513439,1,1,1,1,1,1,N
migration,0.44,3,C1,C1_SHARED_CERT_001,0.284174602839,0.603549696596,19239.8161612,1,1,1,1,1,1,N
migration,0.44,4,C1,C1_SHARED_CERT_001,0.281423628769,0.597020642685,14953.4985302,1,1,1,1,1,1,N
migration,0.46,1,C1,C1_SHARED_CERT_001,0.302288855432,0.62533632908,14239.5139614,1,1,1,1,1,1,N
migration,0.46,2,C1,C1_SHARED_CERT_001,0.294335298105,0.578226989604,15801.7538552,1,1,1,1,1,1,N
migration,0.46,3,C1,C1_SHARED_CERT_001,0.295791804325,0.580860551979,18519.3589845,1,1,1,1,1,1,N
migration,0.46,4,C1,C1_SHARED_CERT_001,0.292913403565,0.574489319503,14391.3578999,1,1,1,1,1,1,N
migration,0.48,1,C1,C1_SHARED_CERT_001,0.314338684751,0.602494583003,13721.4725837,1,1,1,1,1,1,N
migration,0.48,2,C1,C1_SHARED_CERT_001,0.305393811804,0.552925848783,15112.9222708,1,1,1,1,1,1,N
migration,0.48,3,C1,C1_SHARED_CERT_001,0.306899847104,0.55540230096,17710.729443,1,1,1,1,1,1,N
migration,0.48,4,C1,C1_SHARED_CERT_001,0.303897739755,0.549217073271,13760.6439366,1,1,1,1,1,1,N
migration,0.50,1,C1,C1_SHARED_CERT_001,0.325914970996,0.57881767404,13184.4074265,1,1,1,1,1,1,N
migration,0.50,2,C1,C1_SHARED_CERT_001,0.315932408451,0.526929929347,14405.0857827,1,1,1,1,1,1,N
migration,0.50,3,C1,C1_SHARED_CERT_001,0.317484711073,0.529243296889,16879.7370055,1,1,1,1,1,1,N
migration,0.50,4,C1,C1_SHARED_CERT_001,0.314362823421,0.523254185277,13112.612299,1,1,1,1,1,1,N
migration,0.52,1,C1,C1_SHARED_CERT_001,0.337022194438,0.555364708984,12652.3895038,1,1,1,1,1,1,N
migration,0.52,2,C1,C1_SHARED_CERT_001,0.325958780468,0.501318909088,13707.6909834,1,1,1,1,1,1,N
migration,0.52,3,C1,C1_SHARED_CERT_001,0.327554067106,0.503468110634,16060.8917156,1,1,1,1,1,1,N
migration,0.52,4,C1,C1_SHARED_CERT_001,0.324316343436,0.497676211374,12474.1526481,1,1,1,1,1,1,N
migration,0.54,1,C1,C1_SHARED_CERT_001,0.34766967736,0.53237779702,12130.9221397,1,1,1,1,1,1,N
migration,0.54,2,C1,C1_SHARED_CERT_001,0.335485807743,0.476351839765,13027.8043178,1,1,1,1,1,1,N
migration,0.54,3,C1,C1_SHARED_CERT_001,0.337120785275,0.478336384012,15262.4565328,1,1,1,1,1,1,N
migration,0.54,4,C1,C1_SHARED_CERT_001,0.333771142809,0.472740348527,11851.6961848,1,1,1,1,1,1,N
migration,0.56,1,C1,C1_SHARED_CERT_001,0.357869910319,0.510015360063,11623.6069613,1,1,1,1,1,1,N
migration,0.56,2,C1,C1_SHARED_CERT_001,0.344530000477,0.452210242594,12370.3781555,1,1,1,1,1,1,N
migration,0.56,3,C1,C1_SHARED_CERT_001,0.346201371773,0.454029928942,14490.2184705,1,1,1,1,1,1,N
migration,0.56,4,C1,C1_SHARED_CERT_001,0.342743670762,0.448626909069,11249.7523531,1,1,1,1,1,1,N
migration,0.58,1,C1,C1_SHARED_CERT_001,0.367634503931,0.488233407174,11129.4452241,1,1,1,1,1,1,N
migration,0.58,2,C1,C1_SHARED_CERT_001,0.35310748966,0.428875162255,11734.897283,1,1,1,1,1,1,N
migration,0.58,3,C1,C1_SHARED_CERT_001,0.354811939334,0.430529077645,13743.5537748,1,1,1,1,1,1,N
migration,0.58,4,C1,C1_SHARED_CERT_001,0.351249989436,0.425316544042,10667.8390261,1,1,1,1,1,1,N
migration,0.60,1,C1,C1_SHARED_CERT_001,0.376970628967,0.466809950597,10643.3924,1,1,1,1,1,1,N
migration,0.60,2,C1,C1_SHARED_CERT_001,0.361230291288,0.406140853381,11115.7517664,1,1,1,1,1,1,N
migration,0.60,3,C1,C1_SHARED_CERT_001,0.362964452041,0.407626401736,13015.8639658,1,1,1,1,1,1,N
migration,0.60,4,C1,C1_SHARED_CERT_001,0.35930204968,0.402603693171,10100.8183854,1,1,1,1,1,1,N
migration,0.62,1,C1,C1_SHARED_CERT_001,0.38588026191,0.445485279416,10159.5461468,1,1,1,1,1,1,N
migration,0.62,2,C1,C1_SHARED_CERT_001,0.368905413144,0.383756908605,10506.1130739,1,1,1,1,1,1,N
migration,0.62,3,C1,C1_SHARED_CERT_001,0.370665827864,0.385069599197,12299.1221273,1,1,1,1,1,1,N
migration,0.62,4,C1,C1_SHARED_CERT_001,0.366906800024,0.380238243966,9542.43830938,1,1,1,1,1,1,N
migration,0.64,1,C1,C1_SHARED_CERT_001,0.394360751846,0.42402802681,9672.64788803,1,1,1,1,1,1,N
migration,0.64,2,C1,C1_SHARED_CERT_001,0.376135368945,0.361498627832,9899.8532939,1,1,1,1,1,1,N
migration,0.64,3,C1,C1_SHARED_CERT_001,0.377918456452,0.362632256979,11586.1245102,1,1,1,1,1,1,N
migration,0.64,4,C1,C1_SHARED_CERT_001,0.374066699837,0.357995741286,8987.08766424,1,1,1,1,1,1,N
migration,0.66,1,C1,C1_SHARED_CERT_001,0.402405588807,0.402245243267,9178.3118191,1,1,1,1,1,1,N
